out_file;cost;depth;exp_nodes;frontier;time;
test/BFS-easy.txt;34;25;781;85;0,268998;
test/DFS-easy.txt;42;29;1138;25;0,667892;
test/H0-Astar-easy.txt;34;25;121;35;0,006553;
test/H0-gg-easy.txt;34;25;106;48;0,004763;
test/H0-IDAstar-easy.txt;34;25;121;9;0,011015;
test/H0-IDDFS-easy.txt;42;29;1042;25;0,56076;
test/H1-Astar-easy.txt;34;25;100;38;0,004252;
test/H1-gg-easy.txt;38;27;73;44;0,002216;
test/H1-IDAstar-easy.txt;34;25;100;3;0,006208;
test/H2-Astar-easy.txt;34;25;121;35;0,006588;
test/H2-gg-easy.txt;34;25;106;48;0,005352;
test/H2-IDAstar-easy.txt;34;25;121;9;0,010932;
